plant,strain,dataset_year,field,plot,nitrogen,plantsp,harvester,chloro,nodnum,meannodweight,shootmass,fert
151,796,2018,2,2N,Nitrogen,T. hybridum,SC,40.4,165,0.4121,0.2292,Fertilized
161,498,2018,5,5N,Nitrogen,T. hybridum,JL,13.5,6,0.1238,0.0082,Fertilized
165,596,2018,1,1N,Nitrogen,T. repens,SJ,32.1,11,2.2955,0.0998,Fertilized
175,61,2018,5,5N,Nitrogen,T. pratense,SJ,38.1,8,1.1809,0.0889,Fertilized
191,97,2018,1,1N,Nitrogen,T. hybridum,JL,9.3,9,0.2083,0.0062,Fertilized
196,97,2018,1,1N,Nitrogen,T. hybridum,JL,41.6,62,0.0065,0.1627,Fertilized
205,651,2018,6,6N,Nitrogen,T. hybridum,SJ,22,23,0.0698,0.0228,Fertilized
210,699,2018,5,5N,Nitrogen,T. repens,JL,49.3,78,0.0675,0.2523,Fertilized
215,478,2018,2,2N,Nitrogen,T. repens,SJ,35.5,58,0.0428,0.261,Fertilized
223,699,2018,5,5N,Nitrogen,T. repens,MH,14.1,30,0.0468,0.0314,Fertilized
234,643,2018,2,2N,Nitrogen,T. pratense,MH,7.9,10,0.1536,0.027,Fertilized
242,511,2018,3,3N,Nitrogen,T. pratense,SJ,NA,4,0.0343,0.002,Fertilized
247,209,2018,6,6N,Nitrogen,T. hybridum,SJ,44.5,6,0.243,0.0748,Fertilized
251,381,2018,3,3N,Nitrogen,T. repens,SJ,38.9,20,0.3085,0.0547,Fertilized
260,651,2018,6,6N,Nitrogen,T. hybridum,MH,15.9,5,0.216,0.0225,Fertilized
265,527,2018,3,3N,Nitrogen,T. pratense,SJ,38.8,7,0.1867,0.0192,Fertilized
283,56,2018,5,5N,Nitrogen,T. repens,SJ,42.2,40,0.1418,0.2436,Fertilized
287,498,2018,5,5N,Nitrogen,T. hybridum,SJ,42.4,315,0.0141,0.288,Fertilized
288,328,2018,2,2N,Nitrogen,T. pratense,SJ,49,2,0.2545,0.2476,Fertilized
297,859,2018,4,4N,Nitrogen,T. repens,JL,11.8,28,0.4217,0.0311,Fertilized
307,796,2018,2,2N,Nitrogen,T. hybridum,CA,22.5,21,0.0582,0.016,Fertilized
337,773,2018,4,4N,Nitrogen,T. pratense,CA,50.4,4,0.9308,0.0419,Fertilized
353,527,2018,3,3N,Nitrogen,T. pratense,MH,28.6,55,0.1583,0.0479,Fertilized
366,478,2018,2,2N,Nitrogen,T. repens,MH,32.5,230,0.1465,0.292,Fertilized
371,478,2018,2,2N,Nitrogen,T. repens,MJH,NA,7,0.0994,0.002,Fertilized
373,231,2018,6,6N,Nitrogen,T. repens,TG,45.3,93,0.0746,0.22,Fertilized
378,116,2018,1,1N,Nitrogen,T. pratense,TG,25.2,19,0.6516,0.013,Fertilized
388,577,2018,3,3N,Nitrogen,T. hybridum,SJ,46.5,0,0,0.0737,Fertilized
402,511,2018,3,3N,Nitrogen,T. pratense,TG,41.8,14,0.8122,0.0642,Fertilized
420,511,2018,3,3N,Nitrogen,T. pratense,SJ,NA,13,0.0195,0.0034,Fertilized
444,859,2018,4,4N,Nitrogen,T. repens,JL,32.3,63,0.2883,0.1114,Fertilized
482,262,2018,2,2N,Nitrogen,T. repens,JL,36.3,13,0.641,0.0257,Fertilized
484,231,2018,6,6N,Nitrogen,T. repens,JL,30.1,20,0.9999,0.0264,Fertilized
490,475,2018,4,4N,Nitrogen,T. repens,JL,41.4,40,0.179,0.0913,Fertilized
504,40,2018,3,3N,Nitrogen,T. repens,JL,47.1,13,2.1547,0.1093,Fertilized
510,97,2018,1,1N,Nitrogen,T. hybridum,TG,37.2,166,0.3452,0.2537,Fertilized
516,156,2018,2,2N,Nitrogen,T. hybridum,CA,38.2,9,0.1268,0.021,Fertilized
522,762,2018,5,5N,Nitrogen,T. pratense,TG,38.9,99,0.1212,0.1696,Fertilized
523,262,2018,2,2N,Nitrogen,T. repens,SJ,NA,3,0.06,0.0089,Fertilized
535,56,2018,5,5N,Nitrogen,T. repens,TG,41.2,19,0.2945,0.1019,Fertilized
537,717,2018,6,6N,Nitrogen,T. pratense,TG,47.8,82,0.1402,0.2335,Fertilized
548,511,2018,3,3N,Nitrogen,T. pratense,TG,38.6,276,0.0442,0.1431,Fertilized
551,511,2018,3,3N,Nitrogen,T. pratense,SJ,38.2,81,0.046,0.3218,Fertilized
557,699,2018,5,5N,Nitrogen,T. repens,SJ,NA,4,0.1063,0.0043,Fertilized
560,97,2018,1,1N,Nitrogen,T. hybridum,CA,35.2,23,0.0483,0.0924,Fertilized
567,538,2018,1,1N,Nitrogen,T. hybridum,MH,39.9,30,0.3625,0.1879,Fertilized
593,643,2018,2,2N,Nitrogen,T. pratense,JL,30.5,47,0.6491,0.1675,Fertilized
600,231,2018,6,6N,Nitrogen,T. repens,JL,34.8,23,0.3597,0.0113,Fertilized
614,209,2018,6,6N,Nitrogen,T. hybridum,SJ,30.2,21,0.0168,0.0145,Fertilized
617,16,2018,3,3N,Nitrogen,T. hybridum,SJ,45.5,42,0.0681,0.3471,Fertilized
634,156,2018,2,2N,Nitrogen,T. hybridum,SJ,21.8,4,2.2538,0.0483,Fertilized
642,381,2018,3,3N,Nitrogen,T. repens,SJ,49.1,13,0.1792,0.1899,Fertilized
646,527,2018,3,3N,Nitrogen,T. pratense,MJH,41.9,38,0.0668,0.1445,Fertilized
659,116,2018,1,1N,Nitrogen,T. pratense,CA,33.6,26,0.5687,0.0329,Fertilized
669,577,2018,3,3N,Nitrogen,T. hybridum,SJ,45,12,1.4233,0.2918,Fertilized
681,478,2018,2,2N,Nitrogen,T. repens,SJ,45.9,105,0.0316,0.2443,Fertilized
695,596,2018,1,1N,Nitrogen,T. repens,SJ,31.4,10,1.405,0.0681,Fertilized
698,717,2018,6,6N,Nitrogen,T. pratense,SJ,28.7,13,0.4082,0.0945,Fertilized
700,16,2018,3,3N,Nitrogen,T. hybridum,SJ,39.8,21,1.347,0.1173,Fertilized
719,262,2018,2,2N,Nitrogen,T. repens,MH,35.6,170,0.2643,0.03481,Fertilized
724,577,2018,3,3N,Nitrogen,T. hybridum,MH,9.9,24,0.0711,0.0252,Fertilized
731,97,2018,1,1N,Nitrogen,T. hybridum,MH,NA,NA,NA,NA,Fertilized
735,209,2018,6,6N,Nitrogen,T. hybridum,MH,NA,NA,NA,NA,Fertilized
736,577,2018,3,3N,Nitrogen,T. hybridum,MH,12.8,40,0.0623,0.0318,Fertilized
764,762,2008,5,5B,Nitrogen,T. hybridum,NA,45.6,194,5.15E-05,0.29,Fertilized
770,156,2008,2,2B,Nitrogen,T. repens,MH,50.7,123,7.40E-05,0.35,Fertilized
773,262,2008,2,2B,Nitrogen,T. repens,JL,41.1,80,0.000425,0.22,Fertilized
777,61,2008,5,5B,Nitrogen,T. hybridum,ES,39,47,0.000210638,0.07,Fertilized
785,61,2008,5,5B,Nitrogen,T. pratense,TB,54.8,87,0.000181609,0.36,Fertilized
792,643,2008,2,2B,Nitrogen,T. hybridum,JJ,40.9,0,NA,0.39,Fertilized
798,762,2008,5,5B,Nitrogen,T. pratense,EM,47.7,109,5.87E-05,0.37,Fertilized
800,773,2008,4,4B,Nitrogen,T. repens,CPT,30.4,39,0.000810256,0.2,Fertilized
807,97,2008,1,1B,Nitrogen,T. hybridum,MH,40.1,320,1.63E-05,0.38,Fertilized
808,475,2008,4,4B,Nitrogen,T. pratense,TB,35.9,169,5.27E-05,0.23,Fertilized
809,61,2008,5,5B,Nitrogen,T. pratense,FD,43.3,189,0.000118519,0.29,Fertilized
812,56,2008,5,5B,Nitrogen,T. hybridum,ES,42.9,3,1.67E-05,0.47,Fertilized
819,116,2008,1,1B,Nitrogen,T. hybridum,JL,45.8,36,0.000319444,0.14,Fertilized
822,796,2008,2,2B,Nitrogen,T. repens,MH,52,69,0.000176812,0.48,Fertilized
824,699,2008,5,5B,Nitrogen,T. pratense,MH,24.1,60,7.00E-05,0.06,Fertilized
825,209,2008,6,6B,Nitrogen,T. pratense,KK,48.8,227,0.000115419,0.43,Fertilized
827,796,2008,2,2B,Nitrogen,T. repens,MH,39.8,73,0.000365753,0.69,Fertilized
828,538,2008,1,1B,Nitrogen,T. pratense,JJ,48.5,131,0.000139695,0.52,Fertilized
829,262,2008,2,2B,Nitrogen,T. hybridum,JL,25.2,90,4.33E-05,0.11,Fertilized
834,231,2008,6,6B,Nitrogen,T. pratense,MH,38.8,82,0.00024878,0.31,Fertilized
836,717,2008,6,6B,Nitrogen,T. pratense,CPT,NA,65,0.000261538,0.35,Fertilized
837,596,2008,1,1B,Nitrogen,T. repens,CPT,39.4,85,0.000572941,0.22,Fertilized
840,478,2008,2,2B,Nitrogen,T. repens,CPT,47.2,71,0.000278873,0.33,Fertilized
846,40,2008,3,3B,Nitrogen,T. hybridum,RP,22.4,0,NA,0.1,Fertilized
851,699,2008,5,5B,Nitrogen,T. hybridum,CPT,29.5,125,NA,0.25,Fertilized
854,498,2008,5,5B,Nitrogen,T. pratense,JL,24,550,0.000100625,0.37,Fertilized
857,56,2008,5,5B,Nitrogen,T. hybridum,CPT,50,43,0.000144186,0.28,Fertilized
861,511,2008,3,3B,Nitrogen,T. hybridum,JL,26,20,5.00E-06,0.11,Fertilized
862,651,2008,6,6B,Nitrogen,T. repens,MH,44.4,69,0.000104348,0.09,Fertilized
864,762,2008,5,5B,Nitrogen,T. hybridum,MH,9.7,121,3.97E-05,0.22,Fertilized
870,478,2008,2,2B,Nitrogen,T. pratense,CPT,44.7,143,7.83E-05,0.41,Fertilized
894,478,2008,2,2B,Nitrogen,T. pratense,JL,36.1,430,0.000175882,0.34,Fertilized
895,717,2008,6,6B,Nitrogen,T. pratense,DW,43.8,88,0.000288636,0.45,Fertilized
897,577,2008,3,3B,Nitrogen,T. pratense,JL,50.1,175,0.000156571,0.43,Fertilized
899,209,2008,6,6B,Nitrogen,T. pratense,JL,38,259,0.000466795,0.45,Fertilized
901,40,2008,3,3B,Nitrogen,T. hybridum,TB,13.1,25,0.000596,0.09,Fertilized
904,156,2008,2,2B,Nitrogen,T. repens,JL,38.4,87,0.001352874,0.41,Fertilized
906,717,2008,6,6B,Nitrogen,T. pratense,JL,37.6,74,0.000478378,0.11,Fertilized
908,478,2008,2,2B,Nitrogen,T. hybridum,JL,14.4,31,2.26E-05,0.07,Fertilized
914,762,2008,5,5B,Nitrogen,T. repens,DW,51,155,0.000177419,0.5,Fertilized
916,773,2008,4,4B,Nitrogen,T. hybridum,ES,45.6,20,0.0018,0.14,Fertilized
918,478,2008,2,2B,Nitrogen,T. repens,MH,43.1,104,0.000273,0.47,Fertilized
928,651,2008,6,6B,Nitrogen,T. pratense,JL,51.5,315,0.000264,0.69,Fertilized
933,475,2008,4,4B,Nitrogen,T. repens,JL,35.2,126,0.001163492,0.52,Fertilized
935,596,2008,1,1B,Nitrogen,T. repens,JL,40.2,235,0.000413,0.7,Fertilized
936,859,2008,4,4B,Nitrogen,T. pratense,DW,23.3,862,8.27E-05,0.24,Fertilized
938,717,2008,6,6B,Nitrogen,T. pratense,DW,49.5,161,0.000112871,0.6,Fertilized
940,381,2008,3,3B,Nitrogen,T. hybridum,DW,15.1,248,6.00E-05,0.11,Fertilized
944,56,2008,5,5B,Nitrogen,T. hybridum,JL,48.3,95,0.000383158,0.53,Fertilized
946,328,2008,2,2B,Nitrogen,T. hybridum,MH,42.6,349,0.000271,0.73,Fertilized
948,717,2008,6,6B,Nitrogen,T. hybridum,DW,42.8,191,0.000540196,0.45,Fertilized
954,231,2008,6,6B,Nitrogen,T. repens,MH,36.6,330,0.000383,0.63,Fertilized
963,209,2008,6,6B,Nitrogen,T. pratense,DW,41,244,0.000373585,0.43,Fertilized
973,717,2008,6,6B,Nitrogen,T. pratense,JL,54.1,110,0.000477,0.82,Fertilized
983,231,2008,6,6B,Nitrogen,T. repens,DW,47.5,304,0.000431132,0.88,Fertilized
988,762,2008,5,5B,Nitrogen,T. hybridum,MH,53.3,279,0.000123529,0.75,Fertilized
990,381,2008,3,3B,Nitrogen,T. hybridum,MH,41.9,188,0.000158,0.6,Fertilized
997,796,2008,2,2B,Nitrogen,T. repens,JL,47.6,83,0.000838554,0.68,Fertilized
1001,577,2008,3,3B,Nitrogen,T. repens,JL,27.2,230,0.000391,0.47,Fertilized
1003,61,2008,5,5B,Nitrogen,T. repens,JL,45.1,131,0.00025,0.55,Fertilized
1012,56,2008,5,5B,Nitrogen,T. pratense,MH,52.3,148,0.000183,1.05,Fertilized
1014,596,2008,1,1B,Nitrogen,T. hybridum,DW,46,177,0.00023,0.65,Fertilized
1017,762,2008,5,5B,Nitrogen,T. pratense,JL,44.2,77,0.000458442,0.63,Fertilized
1026,796,2008,2,2B,Nitrogen,T. pratense,MH,20.7,312,0.000172321,0.19,Fertilized
1027,16,2008,3,3B,Nitrogen,T. pratense,JL,44.3,459,0.000353,0.97,Fertilized
1029,859,2008,4,4B,Nitrogen,T. repens,JL,37.7,205,0.000154,0.78,Fertilized
1031,56,2008,5,5B,Nitrogen,T. pratense,DW,41.7,201,0.000708,0.52,Fertilized
1045,116,2008,1,1B,Nitrogen,T. pratense,MH,36.1,299,0.000137,0.16,Fertilized
1051,56,2008,5,5B,Nitrogen,T. repens,DW,38.4,239,0.000240952,0.79,Fertilized
1056,527,2008,3,3B,Nitrogen,T. repens,JL,41.1,182,0.000257,0.39,Fertilized
1058,156,2008,2,2B,Nitrogen,T. hybridum,JL,46.4,138,0.000338,0.48,Fertilized
1059,651,2008,6,6B,Nitrogen,T. repens,JL,44.6,205,0.000269,0.38,Fertilized
1064,596,2008,1,1B,Nitrogen,T. pratense,JL,45.5,178,0.000338,0.41,Fertilized
1068,762,2008,5,5B,Nitrogen,T. hybridum,MH,6.3,303,3.00E-05,0.18,Fertilized
1071,231,2008,6,6B,Nitrogen,T. hybridum,MH,47.4,65,0.000110769,0.9,Fertilized
1073,61,2008,5,5B,Nitrogen,T. repens,DW,44.4,190,0.001108911,1.05,Fertilized
1074,511,2008,3,3B,Nitrogen,T. repens,DW,48.2,553,0.00029901,0.98,Fertilized
1077,527,2008,3,3B,Nitrogen,T. repens,DW,45.4,477,0.000229412,0.6,Fertilized
1079,651,2008,6,6B,Nitrogen,T. hybridum,DW,NA,52,1.54E-05,0.05,Fertilized
1083,262,2008,2,2B,Nitrogen,T. hybridum,JL,NA,0,NA,0.005,Fertilized
1092,381,2008,3,3B,Nitrogen,T. pratense,JL,45.7,208,3.30E-05,0.4,Fertilized
1096,116,2008,1,1B,Nitrogen,T. repens,JL,45,94,0.000332979,0.49,Fertilized
1099,511,2008,3,3B,Nitrogen,T. repens,TS,40.5,254,0.000164444,0.75,Fertilized
1101,475,2008,4,4B,Nitrogen,T. hybridum,DW,33.1,248,3.07E-05,0.24,Fertilized
1102,643,2008,2,2B,Nitrogen,T. pratense,DW,49.9,64,0.000809375,0.46,Fertilized
1104,651,2008,6,6B,Nitrogen,T. pratense,DW,37.6,717,0.000257282,0.57,Fertilized
1106,511,2008,3,3B,Nitrogen,T. repens,JL,48,185,0.000244,0.96,Fertilized
1121,651,2008,6,6B,Nitrogen,T. hybridum,TS,9.9,216,4.40E-05,0.05,Fertilized
1122,209,2008,6,6B,Nitrogen,T. hybridum,MH,46.5,240,6.10E-05,0.71,Fertilized
1146,262,2008,2,2B,Nitrogen,T. pratense,DW,50,272,0.000240777,0.53,Fertilized
1148,56,2008,5,5B,Nitrogen,T. repens,DW,46.6,136,0.000533333,0.75,Fertilized
1150,325,2008,4,4A,Control,T. pratense,DW,42,589,0.000501887,0.66,0 N
1151,113,2008,6,6A,Control,T. pratense,JL,48.2,166,0.000431818,0.6,0 N
1152,113,2008,6,6A,Control,T. hybridum,MH,21.2,180,0.000264,0.11,0 N
1158,636,2008,1,1A,Control,T. hybridum,JL,11.5,39,6.92E-05,0.06,0 N
1161,308,2008,6,6A,Control,T. repens,TS,51.9,133,0.000294,0.74,0 N
1162,758,2008,1,1A,Control,T. hybridum,TS,48.7,73,0.000136986,0.56,0 N
1164,461,2008,2,2A,Control,T. pratense,TS,54.2,113,0.000641,1.27,0 N
1165,837,2008,3,3A,Control,T. hybridum,TS,38.5,307,0.000637,0.43,0 N
1166,861,2008,5,5A,Control,T. pratense,TS,39.4,149,0.000339,0.95,0 N
1169,726,2008,6,6A,Control,T. repens,JL,46.8,99,0.000456566,0.68,0 N
1172,50,2008,1,1A,Control,T. hybridum,MH,40.7,800,6.30E-05,1.03,0 N
1177,308,2008,6,6A,Control,T. hybridum,TS,44.8,62,0.000303226,0.55,0 N
1178,758,2008,1,1A,Control,T. hybridum,MH,50.5,190,0.000307,0.59,0 N
1179,113,2008,6,6A,Control,T. pratense,DW,46,185,0.000167327,1.07,0 N
1181,50,2008,1,1A,Control,T. pratense,JL,41.1,138,0.000227,0.63,0 N
1182,861,2008,5,5A,Control,T. repens,JL,42.8,151,0.000247,0.3,0 N
1184,50,2008,1,1A,Control,T. hybridum,JL,40.6,141,0.000287,0.27,0 N
1186,113,2008,6,6A,Control,T. repens,JL,48.3,51,0.000323529,0.55,0 N
1187,50,2008,1,1A,Control,T. hybridum,JL,42.9,195,8.70E-05,0.89,0 N
1189,438,2008,4,4A,Control,T. hybridum,JL,33.8,438,0.000178,0.29,0 N
1190,493,2008,5,5A,Control,T. repens,JL,53.6,110,0.000533,0.75,0 N
1193,837,2008,3,3A,Control,T. repens,DW,53.7,203,0.000246602,1.05,0 N
1194,729,2008,1,1A,Control,T. repens,DW,52.5,233,0.000327723,0.93,0 N
1195,901,2008,2,2A,Control,T. repens,AR,46.2,241,0.000225,0.95,0 N
1197,729,2008,1,1A,Control,T. pratense,JL,30.4,295,0.000364,0.66,0 N
1198,729,2008,1,1A,Control,T. repens,DW,38.7,360,0.000168317,1.13,0 N
1199,729,2008,1,1A,Control,T. repens,DW,46.3,182,0.000277451,0.71,0 N
1201,100,2008,5,5A,Control,T. repens,JL,38.9,244,0.000134,0.94,0 N
1205,837,2008,3,3A,Control,T. hybridum,MH,35.5,375,0.000119,0.34,0 N
1206,726,2008,6,6A,Control,T. repens,DW,36.7,191,NA,1.02,0 N
1207,3,2008,6,6A,Control,T. pratense,MH,52.8,45,0.00068,1.11,0 N
1208,706,2008,4,4A,Control,T. repens,DW,30.5,489,NA,0.27,0 N
1209,160,2008,5,5A,Control,T. pratense,MH,48.9,45,0.000122222,1.39,0 N
1211,228,2008,1,1A,Control,T. repens,TS,39.1,46,NA,0.61,0 N
1212,344,2008,6,6A,Control,T. hybridum,MH,40.1,201,0.000102,0.72,0 N
1213,499,2008,3,3A,Control,T. repens,JL,54.3,102,0.000202941,0.86,0 N
1214,108,2008,3,3A,Control,T. hybridum,DW,48.8,259,NA,1.21,0 N
1219,173,2008,2,2A,Control,T. pratense,JL,37.9,293,0.000489,0.6,0 N
1220,74,2008,1,1A,Control,T. repens,JL,49.4,68,0.000539706,0.84,0 N
1222,462,2008,5,5A,Control,T. repens,DW,51.9,241,0.000135,1.05,0 N
1223,100,2008,5,5A,Control,T. repens,DW,15.6,1557,0.000156863,0.38,0 N
1224,344,2008,6,6A,Control,T. pratense,DW,39.4,554,0.000166,0.64,0 N
1225,110,2008,4,4A,Control,T. pratense,JL,47.7,162,0.000227,0.86,0 N
1226,110,2008,4,4A,Control,T. pratense,JL,42.8,91,0.000392308,0.61,0 N
1227,706,2008,4,4A,Control,T. hybridum,JL,58.2,63,0.000233333,0.51,0 N
1228,325,2008,4,4A,Control,T. pratense,TS,45.2,457,0.000352,0.81,0 N
1231,438,2008,4,4A,Control,T. pratense,JL,49.2,76,0.000134211,0.54,0 N
1232,108,2008,3,3A,Control,T. pratense,JL,33.5,131,0.000342748,0.46,0 N
1233,627,2008,6,6A,Control,T. repens,TS,36.8,90,0.000124444,0.81,0 N
1234,901,2008,2,2A,Control,T. pratense,MH,38.7,287,0.000181818,0.52,0 N
1235,173,2008,2,2A,Control,T. repens,JL,43.3,228,0.000415,1.02,0 N
1238,559,2008,4,4A,Control,T. repens,DW,46,125,0.000366,0.59,0 N
1239,861,2008,5,5A,Control,T. repens,JL,57.7,32,0.00100625,0.83,0 N
1241,460,2008,3,3A,Control,T. hybridum,JL,40.8,360,0.00019,0.29,0 N
1242,318,2008,2,2A,Control,T. hybridum,JL,47.4,126,0.000218519,0.52,0 N
1243,108,2008,3,3A,Control,T. pratense,JL,50,294,0.00202,0.97,0 N
1244,318,2008,2,2A,Control,T. pratense,TS,55.4,125,0.00054,1.19,0 N
1248,145,2008,3,3A,Control,T. repens,JL,40,60,0.000278333,0.43,0 N
1249,901,2008,2,2A,Control,T. hybridum,TS,37.7,82,0.000239024,0.23,0 N
1250,415,2008,3,3A,Control,T. repens,TS,41.8,66,0.000371212,0.37,0 N
1252,901,2008,2,2A,Control,T. hybridum,JL,29.4,170,2.00E-04,0.31,0 N
1253,3,2008,6,6A,Control,T. hybridum,JL,11.9,18,0.001111111,0.14,0 N
1256,173,2008,2,2A,Control,T. pratense,TS,45.6,156,NA,0.69,0 N
1258,160,2008,5,5A,Control,T. pratense,JL,43.3,71,0.000207042,0.94,0 N
1259,837,2008,3,3A,Control,T. repens,JL,35.8,75,0.000406667,0.36,0 N
1261,462,2008,5,5A,Control,T. hybridum,JL,51.1,99,0.00019899,0.45,0 N
1263,449,2008,2,2A,Control,T. hybridum,DW,15.1,324,0.000152475,0.08,0 N
1264,180,2008,5,5A,Control,T. repens,DW,38.9,210,0.000191176,0.53,0 N
1266,706,2008,4,4A,Control,T. pratense,DW,48.7,484,0.000110891,0.87,0 N
1269,460,2008,3,3A,Control,T. repens,MH,46,258,9.41E-05,0.61,0 N
1270,901,2008,2,2A,Control,T. repens,MH,34.5,255,7.54E-05,0.47,0 N
1271,3,2008,6,6A,Control,T. hybridum,MH,48.5,130,0.000145,0.31,0 N
1272,499,2008,3,3A,Control,T. hybridum,JL,36,34,0.000397059,0.35,0 N
1273,729,2008,1,1A,Control,T. hybridum,JL,21.1,80,8.88E-05,0.06,0 N
1275,493,2008,5,5A,Control,T. hybridum,MH,46.5,65,0.000412308,0.37,0 N
1278,462,2008,5,5A,Control,T. hybridum,JL,43.2,55,0.000396364,0.48,0 N
1281,493,2008,5,5A,Control,T. hybridum,MH,NA,15,6.67E-05,0.02,0 N
1286,499,2008,3,3A,Control,T. repens,MH,53.2,119,0.000257983,0.54,0 N
1287,726,2008,6,6A,Control,T. repens,DW,39.2,116,0.000177586,0.76,0 N
1288,462,2008,5,5A,Control,T. pratense,MH,36.6,88,0.000188636,0.5,0 N
1290,228,2008,1,1A,Control,T. hybridum,DW,25,0,NA,0.21,0 N
1292,460,2008,3,3A,Control,T. repens,DW,44.1,91,0.000394505,0.81,0 N
1296,861,2008,5,5A,Control,T. hybridum,TS,42.3,137,0.000322,0.57,0 N
1298,499,2008,3,3A,Control,T. pratense,DW,45,232,0.000104959,1.03,0 N
1299,228,2008,1,1A,Control,T. hybridum,DW,41.3,203,4.65E-05,0.46,0 N
1300,160,2008,5,5A,Control,T. pratense,DW,53.5,175,9.80E-05,1.28,0 N
1301,145,2008,3,3A,Control,T. repens,DW,42,138,0.000155,0.87,0 N
1302,308,2008,6,6A,Control,T. hybridum,DW,43.1,477,9.81E-05,0.67,0 N
1303,3,2008,6,6A,Control,T. repens,DW,49.6,50,0.000248,0.84,0 N
1304,228,2008,1,1A,Control,T. pratense,DW,28.5,357,0.000192593,0.42,0 N
1305,729,2008,1,1A,Control,T. repens,DW,47.6,132,8.70E-05,0.97,0 N
1306,113,2008,6,6A,Control,T. hybridum,DW,42.3,327,0.000147115,0.33,0 N
1308,438,2008,4,4A,Control,T. pratense,AC,33.8,310,0.000523,0.52,0 N
1309,108,2008,3,3A,Control,T. repens,DW,43.6,76,0.000134211,0.5,0 N
1312,499,2008,3,3A,Control,T. pratense,DW,49.1,186,0.000196154,0.58,0 N
1315,861,2008,5,5A,Control,T. pratense,DW,48.7,288,9.42E-05,0.94,0 N
1318,74,2008,1,1A,Control,T. hybridum,DW,38.4,104,0.000290385,0.52,0 N
1320,180,2008,5,5A,Control,T. repens,MH,29.9,469,7.77E-05,1.09,0 N
1322,180,2008,5,5A,Control,T. pratense,MH,41.1,217,0.00019469,0.48,0 N
1323,3,2008,6,6A,Control,T. repens,MH,32.3,66,0.00059697,0.24,0 N
1324,861,2008,5,5A,Control,T. repens,DW,44.1,131,0.00015,0.72,0 N
1327,308,2008,6,6A,Control,T. hybridum,JL,20.2,267,0.000116,0.37,0 N
1328,344,2008,6,6A,Control,T. repens,TS,46.4,142,0.000331,0.62,0 N
1329,438,2008,4,4A,Control,T. hybridum,MH,NA,121,0.00011157,0.03,0 N
1330,706,2008,4,4A,Control,T. hybridum,TS,40.7,151,0.000596,0.5,0 N
1331,460,2008,3,3A,Control,T. repens,MH,48.7,67,0.000150746,0.78,0 N
1332,726,2008,6,6A,Control,T. hybridum,MH,37.3,200,0.000154,0.49,0 N
1333,627,2008,6,6A,Control,T. pratense,TS,43.6,134,0.000414,0.82,0 N
1337,108,2008,3,3A,Control,T. pratense,DW,47.4,451,0.000175472,1.15,0 N
1338,145,2008,3,3A,Control,T. pratense,DW,28.2,52,0.00055,0.11,0 N
1341,318,2008,2,2A,Control,T. hybridum,JL,48.1,129,0.00027,0.97,0 N
1344,462,2008,5,5A,Control,T. hybridum,DW,40.9,82,0.000347561,0.48,0 N
1346,415,2008,3,3A,Control,T. repens,JL,51.4,162,0.000291,1.16,0 N
1350,627,2008,6,6A,Control,T. pratense,TS,46.2,267,0.000214,0.78,0 N
1352,145,2008,3,3A,Control,T. pratense,DW,47.2,104,0.000949038,0.34,0 N
1353,460,2008,3,3A,Control,T. hybridum,JL,44.2,108,0.000174,0.7,0 N
1356,462,2008,5,5A,Control,T. pratense,JL,46.2,145,0.000226,0.79,0 N
1357,559,2008,4,4A,Control,T. pratense,JL,34.1,79,0.00114557,1.02,0 N
1358,461,2008,2,2A,Control,T. repens,TS,41.3,230,0.000775,1.17,0 N
1361,228,2008,1,1A,Control,T. pratense,DW,45.9,164,0.000375238,0.83,0 N
1362,726,2008,6,6A,Control,T. hybridum,JL,48.3,220,0.00015,0.99,0 N
1364,173,2008,2,2A,Control,T. pratense,KK,38.5,142,0.000185915,0.63,0 N
1366,145,2008,3,3A,Control,T. hybridum,DW,22.6,113,0.000739806,0.27,0 N
1369,160,2008,5,5A,Control,T. repens,JL,39,137,0.000361,0.51,0 N
1373,110,2008,4,4A,Control,T. hybridum,MH,47.3,75,0.000192,0.96,0 N
1375,325,2008,4,4A,Control,T. hybridum,MH,39.9,460,9.50E-05,0.3,0 N
1376,308,2008,6,6A,Control,T. pratense,JL,44.1,59,0.00029661,0.54,0 N
1378,559,2008,4,4A,Control,T. pratense,MH,50.4,69,0.000756522,0.77,0 N
1380,461,2008,2,2A,Control,T. hybridum,TB,46.1,140,0.000249,0.98,0 N
1385,228,2008,1,1A,Control,T. pratense,TB,47.8,125,0.0001576,1.36,0 N
1386,415,2008,3,3A,Control,T. hybridum,DW,26.1,577,8.00E-06,0.21,0 N
1387,758,2008,1,1A,Control,T. pratense,DW,39.2,353,0.000113881,0.57,0 N
1389,493,2008,5,5A,Control,T. hybridum,DW,27.2,117,0.000219658,0.35,0 N
1391,415,2008,3,3A,Control,T. pratense,TS,35.3,241,0.000466,0.58,0 N
1392,627,2008,6,6A,Control,T. repens,KK,44.9,126,0.000115079,0.96,0 N
1394,113,2008,6,6A,Control,T. hybridum,DW,40.8,378,0.000168,0.65,0 N
1395,415,2008,3,3A,Control,T. pratense,DW,49.5,177,0.000334,0.49,0 N
1397,160,2008,5,5A,Control,T. pratense,TB,43.9,89,7.98E-05,0.51,0 N
1399,308,2008,6,6A,Control,T. hybridum,DW,39,343,0.000187129,0.39,0 N
