,shootmass,leafnum,nodulenum,meannodulemass,totalnodulemass,chloro,harvester,harvestdate,plant_age,strain,nitrogen,field,plot,plantspori,plantpopori,plantsprear,plantpoprear,type,dataset_year
363,0.90,67,277,0.4852940,0.1344265,41.9,DW,2/3/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. repens,Idaho,treat,2008
364,0.95,38,122,0.3930000,0.0479460,47.4,DW,2/3/08,90,100,Control,5,5A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
365,1.06,17,182,0.1820000,0.0331240,54.4,JL,2/1/08,90,231,Nitrogen,6,6B,T. repens,France,T. pratense,Pennsylvania,treat,2008
366,0.88,31,94,0.4723400,0.0444000,49.2,TS,2/2/08,90,325,Control,4,4A,T. repens,Chile,T. repens,Chile,treat,2008
367,0.83,54,84,0.2654760,0.0223000,48.2,MH,2/3/08,90,110,Control,4,4A,T. repens,Idaho,T. repens,Idaho,treat,2008
368,0.64,41,94,0.0702000,0.0066000,45.8,DW,2/3/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
369,0.69,15,220,0.2990200,0.0657843,55,DW,2/3/08,90,461,Control,2,2A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
370,0.04,5,0,NA,NA,7.6,DW,2/3/08,90,643,Nitrogen,2,2B,T. pratense,Greece,T. pratense,Greece,treat,2008
371,0.59,35,79,0.7101270,0.0561000,52.5,JL,2/1/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. repens,Idaho,treat,2008
372,1.32,89,163,0.4900000,0.0798700,52.3,JL,2/1/08,90,415,Control,3,3A,T. repens,Idaho,T. repens,Chile,treat,2008
373,0.09,5,180,0.0560000,0.0100800,20.6,MH,2/4/08,90,381,Nitrogen,3,3B,T. repens,Chile,T. hybridum,Russia,treat,2008
374,0.84,44,135,0.2840000,0.0383400,48.8,MH,2/3/08,90,462,Control,5,5A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
375,0.87,40,40,0.2750000,0.0110000,50.2,JL,2/3/08,90,74,Control,1,1A,T. hybridum,Russia,T. repens,Chile,treat,2008
376,0.79,23,330,0.0580000,0.0191400,45.5,MH,2/3/08,90,861,Control,5,5A,T. repens,Chile,T. hybridum,Colorado,treat,2008
377,0.73,11,78,0.2858970,0.0223000,52.6,TS,2/2/08,90,228,Control,1,1A,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
378,1.10,12,103,0.2077670,0.0214000,50.4,JL,2/1/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
379,0.63,31,76,0.0618000,0.0047000,44.5,TS,2/2/08,90,627,Control,6,6A,T. repens,Chile,T. repens,Idaho,treat,2008
380,0.95,16,128,0.3953130,0.0506000,52.2,JL,2/3/08,90,706,Control,4,4A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
381,1.16,14,165,0.2960000,0.0488400,50.6,JL,2/3/08,90,460,Control,3,3A,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
382,0.35,5,250,0.0360000,0.0090000,42.2,MH,2/3/08,90,729,Control,1,1A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
383,0.53,11,272,0.2407770,0.0654913,50,DW,2/3/08,90,262,Nitrogen,2,2B,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
384,0.78,20,219,0.1932690,0.0423260,42.8,DW,2/3/08,90,160,Control,5,5A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
385,0.75,57,136,0.5333330,0.0725333,46.6,DW,2/3/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. repens,Idaho,treat,2008
386,0.72,36,75,0.3066670,0.0230000,62,DW,2/3/08,90,636,Control,1,1A,T. repens,Chile,T. repens,Idaho,treat,2008
387,0.66,11,589,0.5018870,0.2956113,42,DW,2/4/08,90,325,Control,4,4A,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
388,0.60,16,166,0.4318180,0.0716818,48.2,JL,2/3/08,90,113,Control,6,6A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
389,0.11,10,180,0.2640000,0.0475200,21.2,MH,2/3/08,90,113,Control,6,6A,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
390,0.04,4,95,0.0737000,0.0070000,3.9,JL,2/3/08,90,796,Nitrogen,2,2B,T. hybridum,Russia,T. hybridum,Russia,treat,2008
391,0.59,23,273,0.2475730,0.0675874,46.6,DW,2/4/08,90,155,Control,4,4A,T. pratense,Greece,T. pratense,Greece,treat,2008
392,0.56,29,708,0.0173000,0.0122538,45.4,DW,2/4/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
393,0.67,34,217,0.0484000,0.0105000,40.5,NA,2/4/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. hybridum,Colorado,treat,2008
394,0.05,4,28,0.0214000,0.0006000,10.2,JL,2/3/08,90,475,Nitrogen,4,4B,T. repens,Idaho,T. hybridum,Russia,treat,2008
395,0.06,5,39,0.0692000,0.0027000,11.5,JL,2/3/08,90,636,Control,1,1A,T. repens,Chile,T. hybridum,Russia,treat,2008
396,NA,22,74,0.2797300,0.0207000,54.3,TS,2/3/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. repens,Chile,treat,2008
397,0.49,16,220,0.0840000,0.0184800,44,MH,2/3/08,90,538,Nitrogen,1,1B,T. hybridum,Russia,T. pratense,Greece,treat,2008
398,0.74,61,133,0.2940000,0.0391020,51.9,TS,2/4/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
399,0.56,24,73,0.1369860,0.0100000,48.7,TS,2/4/08,90,758,Control,1,1A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
400,0.06,3,220,0.0160000,0.0035200,15.8,MH,2/5/08,90,511,Nitrogen,3,3B,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
401,1.27,17,113,0.6410000,0.0724330,54.2,TS,2/3/08,90,461,Control,2,2A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
402,0.43,18,307,0.6370000,0.1955590,38.5,TS,2/3/08,90,837,Control,3,3A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
403,0.95,10,149,0.3390000,0.0505110,39.4,TS,2/4/08,90,861,Control,5,5A,T. repens,Chile,T. pratense,Greece,treat,2008
404,0.62,58,204,0.2440000,0.0497760,46.9,JL,2/4/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. repens,Idaho,treat,2008
405,0.13,7,700,0.0530000,0.0371000,22.7,MH,2/5/08,90,699,Nitrogen,5,5B,T. repens,Chile,T. repens,Chile,treat,2008
406,0.68,46,99,0.4565660,0.0452000,46.8,JL,2/3/08,90,726,Control,6,6A,T. hybridum,Russia,T. repens,Idaho,treat,2008
407,0.87,30,227,0.1750000,0.0397250,48,JL,2/3/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. repens,Idaho,treat,2008
408,0.54,11,163,0.2140000,0.0348820,33.3,JL,2/3/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. pratense,Greece,treat,2008
409,1.03,18,800,0.0630000,0.0504000,40.7,MH,2/5/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
410,0.85,14,590,0.1440000,0.0849600,37.2,NA,2/5/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. pratense,Greece,treat,2008
411,0.64,26,34,0.5823530,0.0198000,41.1,DW,2/5/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. repens,Chile,treat,2008
412,0.46,22,415,0.0376000,0.0156139,38.4,DW,2/5/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
413,1.01,20,135,0.3550000,0.0479250,50.2,JL,2/4/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. pratense,Greece,treat,2008
414,0.55,14,62,0.3032260,0.0188000,44.8,TS,2/4/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
415,0.59,25,190,0.3070000,0.0583300,50.5,MH,2/5/08,90,758,Control,1,1A,T. repens,Idaho,T. hybridum,Russia,treat,2008
416,1.07,12,185,0.1673270,0.0309554,46,DW,2/5/08,90,113,Control,6,6A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
417,0.09,7,191,0.0620000,0.0118420,13.6,NA,2/5/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. hybridum,Russia,treat,2008
418,0.63,13,138,0.2270000,0.0313260,41.1,JL,2/4/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. pratense,Greece,treat,2008
419,0.30,18,151,0.2470000,0.0372970,42.8,JL,2/4/08,90,861,Control,5,5A,T. repens,Chile,T. repens,Chile,treat,2008
420,0.73,29,90,0.7677780,0.0691000,41.9,JL,2/5/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. repens,Chile,treat,2008
421,0.27,17,141,0.2870000,0.0404670,40.6,JL,2/5/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
422,0.12,7,25,0.1120000,0.0028000,3.9,JL,2/5/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. hybridum,Russia,treat,2008
423,0.55,34,51,0.3235290,0.0165000,48.3,JL,2/5/08,90,113,Control,6,6A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
424,0.89,30,195,0.0870000,0.0169650,42.9,JL,2/4/08,90,50,Control,1,1A,T. pratense,Pennsylvania,T. hybridum,Colorado,treat,2008
425,0.32,13,434,0.0817000,0.0354712,21.9,JL,2/5/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. hybridum,Colorado,treat,2008
426,0.29,12,438,0.1780000,0.0779640,33.8,JL,2/5/08,90,438,Control,4,4A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
427,0.75,44,110,0.5330000,0.0586300,53.6,JL,2/5/08,90,493,Control,5,5A,T. pratense,Greece,T. repens,Idaho,treat,2008
428,0.48,16,127,0.5336630,0.0677752,31.3,DW,2/6/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. pratense,Greece,treat,2008
429,0.77,27,330,0.1330000,0.0438900,43.6,DW,2/6/08,90,538,Nitrogen,1,1B,T. hybridum,Russia,T. hybridum,Colorado,treat,2008
430,1.05,35,203,0.2466020,0.0500602,53.7,DW,2/6/08,90,837,Control,3,3A,T. hybridum,Russia,T. repens,Chile,treat,2008
431,0.93,43,233,0.3277230,0.0763594,52.5,DW,2/6/08,90,729,Control,1,1A,T. hybridum,Colorado,T. repens,Chile,treat,2008
432,0.95,55,241,0.2250000,0.0542250,46.2,AR,2/6/08,90,901,Control,2,2A,T. repens,Idaho,T. repens,Idaho,treat,2008
433,0.94,35,405,0.1410000,0.0571050,44.2,DW,2/6/08,90,762,Nitrogen,5,5B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
434,0.66,8,295,0.3640000,0.1073800,30.4,JL,2/5/08,90,729,Control,1,1A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
435,1.13,44,360,0.1683170,0.0605941,38.7,DW,2/7/08,90,729,Control,1,1A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
436,0.71,42,182,0.2774510,0.0504961,46.3,DW,2/7/08,90,729,Control,1,1A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
437,0.92,33,143,0.3150000,0.0450450,51.5,DW,2/7/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. repens,Idaho,treat,2008
438,0.94,25,244,0.1340000,0.0326960,38.9,JL,2/5/08,90,100,Control,5,5A,T. hybridum,Russia,T. repens,Idaho,treat,2008
439,0.86,17,310,0.3310000,0.1026100,29.5,JL,2/5/08,90,381,Nitrogen,3,3B,T. repens,Chile,T. pratense,Greece,treat,2008
440,1.11,46,171,NA,NA,53.2,DW,2/7/08,90,538,Nitrogen,1,1B,T. hybridum,Russia,T. repens,Chile,treat,2008
441,1.06,28,518,NA,NA,44.3,DW,2/7/08,90,231,Nitrogen,6,6B,T. repens,France,T. pratense,Greece,treat,2008
442,0.34,15,375,0.1190000,0.0446250,35.5,MH,2/6/08,90,837,Control,3,3A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
443,1.02,53,191,NA,NA,36.7,DW,2/7/08,90,726,Control,6,6A,T. hybridum,Russia,T. repens,Idaho,treat,2008
444,1.11,17,45,0.6800000,0.0306000,52.8,MH,2/7/08,90,3,Control,6,6A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
445,0.27,25,489,NA,NA,30.5,DW,2/7/08,90,706,Control,4,4A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
446,1.39,25,45,0.1222220,0.0055000,48.9,MH,2/7/08,90,160,Control,5,5A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
447,0.93,24,658,0.1564810,0.1029648,38.2,MH,2/6/08,90,97,Nitrogen,1,1B,T. hybridum,Colorado,T. pratense,Greece,treat,2008
448,0.61,29,46,NA,NA,39.1,TS,2/7/08,90,228,Control,1,1A,T. pratense,Greece,T. repens,Idaho,treat,2008
449,0.72,21,201,0.1020000,0.0205020,40.1,MH,2/6/08,90,344,Control,6,6A,T. pratense,Greece,T. hybridum,Colorado,treat,2008
450,0.86,62,102,0.2029410,0.0207000,54.3,JL,2/5/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
451,1.21,40,259,NA,NA,48.8,DW,2/7/08,90,108,Control,3,3A,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
452,0.15,17,1105,0.0817000,0.0903125,15.8,DW,2/8/08,90,498,Nitrogen,5,5B,T. hybridum,Colorado,T. repens,Idaho,treat,2008
453,0.78,49,190,0.2683170,0.0509802,48.3,DW,2/8/08,90,577,Nitrogen,3,3B,T. hybridum,Colorado,T. repens,Idaho,treat,2008
454,1.06,12,192,0.5688070,0.1092110,51.4,DW,2/8/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
455,0.14,11,400,0.0140000,0.0056000,28.2,MH,2/7/08,90,699,Nitrogen,5,5B,T. repens,Chile,T. hybridum,Russia,treat,2008
456,0.60,17,293,0.4890000,0.1432770,37.9,JL,2/8/08,90,173,Control,2,2A,T. repens,Chile,T. pratense,Greece,treat,2008
457,0.84,32,68,0.5397060,0.0367000,49.4,JL,2/8/08,90,74,Control,1,1A,T. hybridum,Russia,T. repens,Idaho,treat,2008
458,0.60,17,710,0.2570000,0.1824700,36.4,DW,2/8/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. pratense,Greece,treat,2008
459,1.05,47,241,0.1350000,0.0325350,51.9,DW,2/8/08,90,462,Control,5,5A,T. hybridum,Colorado,T. repens,Chile,treat,2008
460,0.38,48,1557,0.1568630,0.2442353,15.6,DW,2/9/08,90,100,Control,5,5A,T. hybridum,Russia,T. repens,Idaho,treat,2008
461,0.64,15,554,0.1660000,0.0919640,39.4,DW,2/9/08,90,344,Control,6,6A,T. pratense,Greece,T. pratense,Greece,treat,2008
462,0.86,13,162,0.2270000,0.0367740,47.7,JL,2/9/08,90,110,Control,4,4A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
463,0.61,25,91,0.3923080,0.0357000,42.8,JL,2/8/08,90,110,Control,4,4A,T. repens,Idaho,T. pratense,Greece,treat,2008
464,0.51,19,63,0.2333330,0.0147000,58.2,JL,2/8/08,90,706,Control,4,4A,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
465,0.81,20,457,0.3520000,0.1608640,45.2,TS,2/7/08,90,325,Control,4,4A,T. repens,Chile,T. pratense,Greece,treat,2008
466,0.14,10,416,0.3280000,0.1364480,32.1,TS,2/8/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. hybridum,Russia,treat,2008
467,1.04,29,84,0.1416670,0.0119000,41.9,JL,2/9/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. hybridum,Colorado,treat,2008
468,0.54,6,76,0.1342110,0.0102000,49.2,JL,2/9/08,90,438,Control,4,4A,T. hybridum,Russia,T. pratense,Pennsylvania,treat,2008
469,0.46,16,131,0.3427480,0.0449000,33.5,JL,2/8/08,90,108,Control,3,3A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
470,0.81,51,90,0.1244440,0.0112000,36.8,TS,2/8/08,90,627,Control,6,6A,T. repens,Chile,T. repens,Idaho,treat,2008
471,0.52,11,287,0.1818180,0.0521818,38.7,MH,2/9/08,90,901,Control,2,2A,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
472,1.02,51,228,0.4150000,0.0946200,43.3,JL,2/9/08,90,173,Control,2,2A,T. repens,Chile,T. repens,Idaho,treat,2008
473,1.06,12,166,0.2880000,0.0478080,41.8,JL,2/8/08,90,381,Nitrogen,3,3B,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
474,0.56,16,830,0.0610000,0.0506300,31.1,JL,2/8/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. hybridum,Colorado,treat,2008
475,0.59,39,125,0.3660000,0.0457500,46,DW,2/9/08,90,559,Control,4,4A,T. pratense,Pennsylvania,T. repens,Chile,treat,2008
476,0.83,32,32,1.0062500,0.0322000,57.7,JL,2/10/08,90,861,Control,5,5A,T. repens,Chile,T. repens,Chile,treat,2008
477,0.32,15,51,0.2333330,0.0119000,49.6,JL,2/10/08,90,538,Nitrogen,1,1B,T. hybridum,Russia,T. hybridum,Russia,treat,2008
478,0.29,18,360,0.1900000,0.0684000,40.8,JL,2/10/08,90,460,Control,3,3A,T. repens,Chile,T. hybridum,Russia,treat,2008
479,0.52,23,126,0.2185190,0.0275333,47.4,JL,2/10/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
480,0.97,16,294,2.0200000,0.5938800,50,JL,2/10/08,90,108,Control,3,3A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
481,1.19,17,125,0.5400000,0.0675000,55.4,TS,2/9/08,90,318,Control,2,2A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
482,0.99,21,176,0.1170000,0.0205920,43.3,TS,2/10/08,90,231,Nitrogen,6,6B,T. repens,France,T. hybridum,Colorado,treat,2008
483,0.32,14,82,0.1890240,0.0155000,35.6,JL,2/10/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. repens,Idaho,treat,2008
484,0.34,11,278,0.2590000,0.0720020,37.8,JL,2/10/08,90,577,Nitrogen,3,3B,T. hybridum,Colorado,T. pratense,Greece,treat,2008
485,0.43,20,60,0.2783330,0.0167000,40,JL,2/10/08,90,145,Control,3,3A,T. pratense,Greece,T. repens,Idaho,treat,2008
486,0.23,14,82,0.2390240,0.0196000,37.7,TS,2/9/08,90,901,Control,2,2A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
487,0.37,22,66,0.3712120,0.0245000,41.8,TS,2/10/08,90,415,Control,3,3A,T. repens,Idaho,T. repens,Idaho,treat,2008
488,0.36,10,203,0.2460000,0.0499380,33.3,JL,2/10/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. pratense,Greece,treat,2008
489,0.31,15,170,0.2000000,0.0340000,29.4,JL,2/10/08,90,901,Control,2,2A,T. repens,Idaho,T. hybridum,Russia,treat,2008
490,0.14,14,18,1.1111110,0.0200000,11.9,JL,2/10/08,90,3,Control,6,6A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
491,0.43,22,54,0.2611110,0.0141000,49.1,JL,2/10/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. hybridum,Russia,treat,2008
492,0.60,9,54,0.4537040,0.0245000,47.8,JL,2/10/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
493,0.69,13,156,NA,NA,45.6,TS,2/9/08,90,173,Control,2,2A,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
494,0.62,17,69,0.4753620,0.0328000,55.1,TS,2/10/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. pratense,Greece,treat,2008
495,0.94,16,71,0.2070420,0.0147000,43.3,JL,2/10/08,90,160,Control,5,5A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
496,0.36,21,75,0.4066670,0.0305000,35.8,JL,2/10/08,90,837,Control,3,3A,T. hybridum,Russia,T. repens,Chile,treat,2008
497,0.09,4,182,3.0000000,0.5460000,23.7,JL,2/10/08,90,859,Nitrogen,4,4B,T. repens,Chile,T. pratense,Greece,treat,2008
498,0.45,16,99,0.1989900,0.0197000,51.1,JL,2/9/08,90,462,Control,5,5A,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
499,0.81,16,117,0.2850000,0.0333450,36.3,JL,2/10/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
500,0.08,11,324,0.1524750,0.0494020,15.1,DW,2/11/08,90,449,Control,2,2A,T. hybridum,Russia,T. hybridum,Russia,treat,2008
501,0.53,32,210,0.1911760,0.0401471,38.9,DW,2/11/08,90,180,Control,5,5A,T. repens,Idaho,T. repens,Idaho,treat,2008
502,0.59,44,144,0.1476190,0.0212571,25.7,DW,2/11/08,90,328,Nitrogen,2,2B,T. pratense,Greece,T. repens,Idaho,treat,2008
503,0.87,13,484,0.1108910,0.0536713,48.7,DW,2/11/08,90,706,Control,4,4A,T. hybridum,Colorado,T. pratense,Pennsylvania,treat,2008
504,0.11,8,812,0.0317000,0.0257267,20.5,DW,2/11/08,90,651,Nitrogen,6,6B,T. hybridum,Russia,T. hybridum,Colorado,treat,2008
505,0.51,19,133,0.3436090,0.0457000,37.3,JL,2/11/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
506,0.61,23,258,0.0941000,0.0242695,46,MH,2/11/08,90,460,Control,3,3A,T. repens,Chile,T. repens,Idaho,treat,2008
507,0.47,14,255,0.0754000,0.0192368,34.5,MH,2/11/08,90,901,Control,2,2A,T. repens,Idaho,T. repens,Chile,treat,2008
508,0.31,17,130,0.1450000,0.0188500,48.5,MH,2/11/08,90,3,Control,6,6A,T. repens,Idaho,T. hybridum,Colorado,treat,2008
509,0.35,13,34,0.3970590,0.0135000,36,JL,2/11/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
510,0.06,5,80,0.0887500,0.0071000,21.1,JL,2/11/08,90,729,Control,1,1A,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
511,0.41,17,136,0.1380950,0.0187810,29.7,MH,2/11/08,90,155,Control,4,4A,T. pratense,Greece,T. hybridum,Russia,treat,2008
512,0.37,15,65,0.4123080,0.0268000,46.5,MH,2/11/08,90,493,Control,5,5A,T. pratense,Greece,T. hybridum,Colorado,treat,2008
513,0.08,5,27,1.5185190,0.0410000,22.5,MH,2/11/08,90,40,Nitrogen,3,3B,T. repens,Idaho,T. hybridum,Russia,treat,2008
514,0.12,10,550,0.0220000,0.0121000,17.5,MH,2/11/08,90,262,Nitrogen,2,2B,T. repens,Idaho,T. hybridum,Russia,treat,2008
515,0.48,27,55,0.3963640,0.0218000,43.2,JL,2/11/08,90,462,Control,5,5A,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
516,0.49,26,46,0.4521740,0.0208000,47.6,JL,2/11/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. hybridum,Russia,treat,2008
517,NA,6,142,0.2110000,0.0299620,48.4,TS,2/10/08,90,56,Nitrogen,5,5B,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
518,0.02,5,15,0.0667000,0.0010000,NA,MH,2/11/08,90,493,Control,5,5A,T. pratense,Greece,T. hybridum,Russia,treat,2008
519,0.46,12,287,0.0618000,0.0177418,39.5,MH,2/11/08,90,155,Control,4,4A,T. pratense,Greece,T. pratense,Greece,treat,2008
520,0.24,22,63,0.2222220,0.0140000,31.6,TS,2/11/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. repens,Idaho,treat,2008
521,0.30,5,75,0.3053330,0.0229000,43.1,JL,2/11/08,90,478,Nitrogen,2,2B,T. repens,Chile,T. pratense,Pennsylvania,treat,2008
522,0.65,24,217,0.2950000,0.0640150,37.3,JL,2/11/08,90,209,Nitrogen,6,6B,T. hybridum,Greece,T. hybridum,Russia,treat,2008
523,0.54,30,119,0.2579830,0.0307000,53.2,MH,2/14/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. repens,Idaho,treat,2008
524,0.76,44,116,0.1775860,0.0206000,39.2,DW,2/14/08,90,726,Control,6,6A,T. hybridum,Russia,T. repens,Idaho,treat,2008
525,0.50,9,88,0.1886360,0.0166000,36.6,MH,2/14/08,90,462,Control,5,5A,T. hybridum,Colorado,T. pratense,Greece,treat,2008
526,0.59,28,303,0.2510000,0.0760530,56.7,TS,2/14/08,90,16,Nitrogen,3,3B,T. hybridum,Greece,T. repens,Idaho,treat,2008
527,0.21,10,0,NA,NA,25,DW,2/13/08,90,228,Control,1,1A,T. pratense,Greece,T. hybridum,Russia,treat,2008
528,0.84,33,320,0.1857140,0.0594286,39.4,MH,2/14/08,90,156,Nitrogen,2,2B,T. hybridum,Colorado,T. hybridum,Colorado,treat,2008
529,0.81,36,91,0.3945050,0.0359000,44.1,DW,2/14/08,90,460,Control,3,3A,T. repens,Chile,T. repens,Idaho,treat,2008
530,0.67,12,158,0.7490000,0.1183420,46.8,TS,2/11/08,90,773,Nitrogen,4,4B,T. pratense,Greece,T. pratense,Pennsylvania,treat,2008
531,0.71,21,497,0.1600000,0.0795200,32.6,AC,2/12/08,90,527,Nitrogen,3,3B,T. pratense,Greece,T. hybridum,Russia,treat,2008
532,0.73,26,245,0.2693070,0.0659802,46.8,DW,2/14/08,90,116,Nitrogen,1,1B,T. pratense,Greece,T. pratense,Greece,treat,2008
533,0.57,24,137,0.3220000,0.0441140,42.3,TS,2/11/08,90,861,Control,5,5A,T. repens,Chile,T. hybridum,Russia,treat,2008
534,0.75,29,267,0.0676000,0.0180618,44.9,DW,2/14/08,90,717,Nitrogen,6,6B,T. pratense,Greece,T. hybridum,Colorado,treat,2008
535,1.03,18,232,0.1049590,0.0243504,45,DW,2/13/08,90,499,Control,3,3A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
536,0.46,34,203,0.0465000,0.0094465,41.3,DW,2/13/08,90,228,Control,1,1A,T. pratense,Greece,T. hybridum,Colorado,treat,2008
537,1.28,23,175,0.0980000,0.0171500,53.5,DW,2/13/08,90,160,Control,5,5A,T. pratense,Pennsylvania,T. pratense,Pennsylvania,treat,2008
538,0.87,43,138,0.1550000,0.0213900,42,DW,2/13/08,90,145,Control,3,3A,T. pratense,Greece,T. repens,Idaho,treat,2008
539,0.67,31,477,0.0981000,0.0467914,43.1,DW,2/13/08,90,308,Control,6,6A,T. pratense,Pennsylvania,T. hybridum,Russia,treat,2008
540,0.84,44,50,0.2480000,0.0124000,49.6,DW,2/12/08,90,3,Control,6,6A,T. repens,Idaho,T. repens,Idaho,treat,2008
541,0.42,13,357,0.1925930,0.0687556,28.5,DW,2/12/08,90,228,Control,1,1A,T. pratense,Greece,T. pratense,Greece,treat,2008
542,0.97,34,132,0.0870000,0.0114840,47.6,DW,2/12/08,90,729,Control,1,1A,T. hybridum,Colorado,T. repens,Idaho,treat,2008
543,0.33,15,327,0.1471150,0.0481067,42.3,DW,2/12/08,90,113,Control,6,6A,T. hybridum,Colorado,T. hybridum,Russia,treat,2008
544,0.44,11,184,0.1718450,0.0316194,39.4,DW,2/12/08,90,596,Nitrogen,1,1B,T. repens,Idaho,T. pratense,Pennsylvania,treat,2008
545,0.52,16,310,0.5230000,0.1621300,33.8,AC,2/12/08,90,438,Control,4,4A,T. hybridum,Russia,T. pratense,Greece,treat,2008
